Player,N,Team,Total AV,Position,School,College Gms,Yrs at College,Missed Gm in COL,Avg Pos Rk,Rd Drafted,Pos # Dr.,Org AllPro at Pos,Avg rk contract,First Start,Team Playoffs?,Arms,Hands,Bench Press,40 (Official),Vertical,Broad,3 Cone,20 Yard Shuttle
Lawrence Thomas,286,NYJ,4,DE,1,46,2,,23,8,19,6,0.545,1,5,33.25,10.13,,4.98,35,113,,
Jason Vander Laan,287,NYJ,0,QB,4,46,1,,25,8,15,1,0.54,4,5,31.5,9.63,27,4.78,30.5,119,6.76,4.16
Stephen Anderson,288,HOU,5,TE,1,37,2,,14,8,11,3,0.542,3,0,32,9.25,16,4.64,38,119,6.95,4.13
Ka'imi Fairbairn,289,HOU,12,K,1,53,1,,2,8,1,0,0.542,3,0,31.25,9.25,,,,,,
Joel Heath,290,HOU,7,DE,1,38,2,,23,8,19,4,0.544,2,0,34.5,10.5,26,5.02,33,113,7.44,4.52
Tevin Jones,291,HOU,0,WR,2,50,2,,65,8,31,3,0.54,5,0,,,,,,,,
Ufomba Kamalu,292,HOU,2,DE,1,35,4,,22,8,19,4,0.542,2,0,35,10,26,5.01,25,106,7.32,4.58
Brennan Scarlett,293,HOU,12,LB,1,32,2,,43,8,34,0,0.542,4,0,33.75,9,25,4.76,31.5,115,7.28,4.64
Wendall Williams,294,HOU,1,WR,4,29,2,,65,8,31,3,0.542,5,0,,,,,,,,
Josh Ferguson,295,IND,1,RB,1,47,2,,16,8,20,4,0.543,5,1,30,9,21,4.48,34.5,120,,
Curt Maggitt,296,IND,1,LB,1,35,2,,34,8,34,3,0.54,5,1,33,10.13,,,,,,
Stefan McClure,297,IND,0,S,1,38,2,,24,8,20,3,0.54,5,1,,,,,,,,
Chris Milton,298,IND,3,CB,1,53,2,,40,8,31,1,0.54,2,1,32.75,9.63,13,4.4,34,123,7.15,4.4
Adam Redmond,299,IND,1,T,3,29,0,,31,8,20,2,0.54,5,1,33.25,10.5,,,,,,
Chester Rogers,300,IND,13,WR,3,35,0,,65,8,31,4,0.54,2,1,,,,,,,,
Tevaun Smith,301,IND,0,WR,1,47,1,,61,8,31,4,0.54,5,1,31.63,9.75,13,4.41,38,122,6.68,4.27
Briean BoddyCalhoun,302,JAX,9,CB,1,38,1,,27,8,31,1,0.54,2,8,31,9.13,10,4.47,35,124,7.16,4.22
Braedon Bowman,303,JAX,0,TE,2,23,4,,25,8,11,0,0.54,5,8,31.38,9.88,26,4.67,35.5,114,7.1,4.37
Rashod Hill,304,JAX,12,T,2,44,1,,31,8,20,3,0.54,4,8,35.38,10.5,21,5.3,26,105,8,4.75
Mike Hilton,305,JAX,13,CB,1,49,1,,40,8,31,1,0.54,4,8,29.75,8.63,13,4.55,33.5,117,6.86,4.19
Jarrod Wilson,306,JAX,15,S,1,49,1,,24,8,20,0,0.542,4,8,32.25,10,17,4.55,36,118,7,4.43
Mehdi Abdesmad,307,TEN,0,DE,1,34,2,,23,8,19,2,0.54,5,7,33.38,9.75,25,5.1,29.5,108,7.55,4.62
Alex Ellis,308,TEN,0,TE,1,26,2,,25,8,11,0,0.54,2,7,32.13,9.5,20,4.79,34.5,121,6.87,4.37
Tyler Marz,309,TEN,1,T,1,51,2,,21,8,20,3,0.54,4,7,33.5,10,19,5.54,27.5,99,8.38,4.97
Aldrick Rosas,310,TEN,8,K,4,26,0,,5,8,1,2,0.54,3,7,,,,,,,,
Antwaun Woods,311,TEN,16,DT,1,51,2,,23,8,23,4,0.54,4,7,31,9.63,,,,,,
Bralon Addison,312,DEN,0,WR,1,39,1,,25,8,31,3,0.54,5,0,29.5,9.13,13,4.66,34.5,116,6.95,4.14
Vontarrius Dora,313,DEN,0,DE,2,46,2,,23,8,19,7,0.54,5,0,,,,,,,,
Mose Frazier,314,DEN,0,WR,2,38,1,,65,8,31,3,0.54,5,0,31.63,8.38,15,4.55,37,125,,
